Episode,Reward
357,-50110842.862667255
358,-113022.02783742946
359,-113006.06898148917
360,-50111597.58647631
361,-113051.36183524915
362,-113006.06898148915
363,-50111051.63420729
364,-112447.18758251505
365,-112938.74077981438
366,-100108262.83132103
367,-112447.18758251505
368,-50110092.51189098
369,-112379.85938084028
370,-112379.85938084028
371,-112379.85938084028
372,-112448.78012834095
373,-112874.14381310274
374,-50111120.52194542
375,-112379.85938084028
376,-112974.45506552869
377,-50110074.10608061
378,-112471.66573601196
379,-112514.19432051296
380,-50109984.30366162
381,-50111080.139705226
382,-112535.97729376223
383,-50110337.44272498
384,-112482.41969911332
385,-112554.09347347918
386,-112565.56091457969
387,-112516.5953596724
388,-112541.20869997378
389,-50110506.919282295
390,-112529.58873733724
391,-112529.58873733724
392,-112529.58873733722
393,-112529.58873733724
394,-112919.10331304929
395,-113077.36726680718
396,-112657.55946827991
397,-112402.73854718462
398,-112495.73765475469
399,-112792.30972822919
400,-112379.85938084028
